1980	1981	Yorktown, NY	Research Division	Financial Planner
1982	1983	Cranbury, NJ	Biomedical Systems	Financial Planner
1984	1985	White Plains, NY	DSD	Financial Planner
1986	1987	White Plains, NY	IS&TG	Pricing Methodology
1988	1989	White Plains, NY	M&S	Revenue Planner
1990	1990	New York, NY	New York Area	Revenue Planning Manager
1991	1992	Rye, NY	IBM US HQ	Cash Planning
1993	1993	Briarcliff Manor, NY	IFPA	Financial and Accounting Education	
1994	1997	Tarrytown, NY	Workforce Solutions	HR Pricing
1998	2000	White Plains, NY	Transportation/Process & Petroleum/Utilities/Industry	Revenue Planner
2001	2004	White Plains, NY	Telecom and Media Industry	Revenue Planner
2005	2010	Armonk, NY	HR Finance	Manager of Benefits Funding & Insurance
2011	2017	Armonk, NY	Global Administration	Global Operations Manager